Date,F,Mkt-RF,SMB,HML,RF,F_RF
1991-11,-0.11526970721645002,-0.04190000000000001,-0.005,-0.018799999999999997,0.0039000000000000003,-0.11916970721645002
1991-12,0.17193054526639795,0.1084,-0.022400000000000003,-0.0418,0.0038,0.16813054526639795
1992-01,0.11876905337600308,-0.0059,0.08460000000000001,0.047,0.0034000000000000002,0.11536905337600308
1992-02,0.20488885167763105,0.0109,0.0087,0.0647,0.0028000000000000004,0.20208885167763105
1992-03,0.044247322509515685,-0.026600000000000002,-0.0104,0.0355,0.0034000000000000002,0.040847322509515685
1992-04,0.2100529434263847,0.010700000000000001,-0.060599999999999994,0.0432,0.0032,0.2068529434263847
1992-05,-0.022049136655246993,0.003,0.0040999999999999995,0.011899999999999999,0.0028000000000000004,-0.024849136655246993
1992-06,0.033795950125045326,-0.023399999999999997,-0.030699999999999998,0.0325,0.0032,0.030595950125045325
1992-07,0.02021400249384575,0.0377,-0.0051,-0.0055000000000000005,0.0031,0.017114002493845752
1992-08,-0.10931408063688663,-0.023799999999999998,-0.0014000000000000002,-0.0108,0.0026,-0.11191408063688664
1992-09,-0.03064385748606835,0.011899999999999999,0.0049,-0.0023,0.0026,-0.03324385748606835
1992-10,-0.05238448396591877,0.0102,0.021,-0.019799999999999998,0.0023,-0.05468448396591877
1992-11,0.1506487150843938,0.041299999999999996,0.0379,-0.014199999999999999,0.0023,0.14834871508439382
1992-12,0.020847639696375264,0.015300000000000001,0.0167,0.0265,0.0028000000000000004,0.018047639696375264
1993-01,0.09845584840355492,0.009300000000000001,0.018500000000000003,0.059500000000000004,0.0023,0.09615584840355493
1993-02,-0.0054387258793384685,0.0012,-0.0349,0.0644,0.0022,-0.007638725879338469
1993-03,0.1335020406084726,0.023,0.0023,0.011899999999999999,0.0025,0.1310020406084726
1993-04,0.07295748889399856,-0.0305,-0.0068000000000000005,0.0248,0.0024,0.07055748889399856
1993-05,-0.05023637367011169,0.028900000000000002,0.0208,-0.035,0.0022,-0.05243637367011169
1993-06,0.004815794438592036,0.0031,-0.0026,0.027200000000000002,0.0025,0.002315794438592036
1993-07,0.028859314293651295,-0.0034000000000000002,0.009000000000000001,0.0282,0.0024,0.026459314293651295
1993-08,-0.03554459237812935,0.0371,0.0014000000000000002,0.0014000000000000002,0.0025,-0.03804459237812935
1993-09,0.0859956807597575,-0.0012,0.0298,-0.0034999999999999996,0.0026,0.08339568075975749
1993-10,0.13891895780360053,0.0141,0.0203,-0.0278,0.0022,0.13671895780360052
1993-11,-0.018180479898393997,-0.0189,-0.0113,-0.0066,0.0025,-0.020680479898393996
1993-12,0.06172479013663401,0.0165,0.012,0.0027,0.0023,0.059424790136634015
1994-01,0.054203264578179144,0.0287,0.0051,0.0128,0.0025,0.05170326457817914
1994-02,-0.07277187154821851,-0.0255,0.027999999999999997,-0.015600000000000001,0.0021,-0.07487187154821852
1994-03,-0.054317353021059,-0.0478,-0.011399999999999999,0.0155,0.0027,-0.057017353021059
1994-04,0.01306473017846388,0.0068000000000000005,-0.0092,0.0166,0.0027,0.010364730178463878
1994-05,-0.01070058072702218,0.0058,-0.0212,0.006999999999999999,0.0031,-0.01380058072702218
1994-06,0.02166872370003947,-0.030299999999999997,-0.004,0.0167,0.0031,0.018568723700039473
1994-07,0.099829459300391,0.0282,-0.0176,0.005699999999999999,0.0028000000000000004,0.097029459300391
1994-08,-0.0823616841089132,0.0401,0.0143,-0.025,0.0037,-0.0860616841089132
1994-09,-0.05125852442351286,-0.0231,0.0311,-0.0184,0.0037,-0.054958524423512865
1994-10,0.0880160580931384,0.0134,-0.0226,-0.0163,0.0038,0.0842160580931384
1994-11,-0.08052879789574996,-0.0404,0.0031,-0.0073,0.0037,-0.08422879789574995
1994-12,0.02758556062633377,0.0086,0.0019,-0.0009,0.0044,0.02318556062633377
1995-01,-0.07976344681037606,0.018000000000000002,-0.0344,0.025099999999999997,0.0042,-0.08396344681037606
1995-02,0.03462113853657445,0.0363,-0.0066,0.0109,0.004,0.030621138536574447
1995-03,0.02873619076795242,0.0219,-0.0021,-0.0208,0.0046,0.02413619076795242
1995-04,0.02748463586866201,0.021099999999999997,-0.0049,0.017,0.0044,0.02308463586866201
1995-05,0.07829555157544577,0.028999999999999998,-0.0252,0.0227,0.0054,0.07289555157544576
1995-06,0.017139849590533496,0.027200000000000002,0.0315,-0.0254,0.004699999999999999,0.012439849590533496
1995-07,-0.008709577762802567,0.037200000000000004,0.0206,-0.0159,0.0045000000000000005,-0.013209577762802568
1995-08,0.06028634725066051,0.0055000000000000005,0.013600000000000001,0.0281,0.004699999999999999,0.055586347250660514
1995-09,0.012207262327356139,0.0335,-0.022000000000000002,-0.0005,0.0043,0.007907262327356139
1995-10,-0.05892039861446441,-0.0152,-0.038,-0.0051,0.004699999999999999,-0.0636203986144644
1995-11,-0.01735144146874279,0.039599999999999996,-0.0111,0.0058,0.0042,-0.02155144146874279
1995-12,0.02211572903211856,0.0103,0.0072,0.0018,0.0049,0.017215729032118557
1996-01,0.04122364073117546,0.0226,-0.0273,0.004,0.0043,0.03692364073117546
1996-02,0.05935048538512433,0.013300000000000001,0.0178,-0.010700000000000001,0.0039000000000000003,0.05545048538512433
1996-03,0.09996033243061486,0.0073,0.0151,0.0036,0.0039000000000000003,0.09606033243061486
1996-04,0.06015258288054648,0.0206,0.052199999999999996,-0.0405,0.0046,0.05555258288054648
1996-05,0.017484590621355434,0.0236,0.0318,-0.0089,0.0042,0.013284590621355435
